 ;Jméno;Příjmení;Smlouva;Pozice;Tým;Věk;Držení hole;Národnost;Výška (cm);Váha (kg);Zápasy;PPP;Body;Góly;Asistence;Ø TOI;+/-;TM;HITY;BLOKY;ÚSP. Vhazování
;Alex;Tamáši;26/27 ;C;MHK;#ODKAZ!;L;SVK;;;;;;;;;;;;;
;Steve;Moses;-;RW;MHK;#ODKAZ!;P;USA;;;;;;;;;;;;;
;Jakub;Pour;-;RW;MHK;#ODKAZ!;L;CZE;;;;;;;;;;;;;
;Jordann;Perret;27/28;RW;MHK;0;L;FRA;;;;;;;;;;;;;
;Kevin;Klima;-;LW;MHK;0;L;USA;;;;;;;;;;;;;
;Lukáš;Radil;26/27;LW;MHK;0;L;CZE;;;;;;;;;;;;;
;Markus;Nenonen;26/27;LW;MHK;0;L;FIN;;;;;;;;;;;;;
;Martin;Kohout;27/28;LW;MHK;0;L;CZE;;;;;;;;;;;;;
;Patrik;Miškář;27/28;C;MHK;0;L;CZE;;;;;;;;;;;;;
;Pavel;Šimek;-;LW;MHK;0;L;CZE;;;;;;;;;;;;;
;Petr;Hašek;-;C;MHK;0;L;CZE;;;;;;;;;;;;;
;Radek;Pilař;26/27+1;F;MHK;0;L;CZE;;;;;;;;;;;;;
;Radovan;Pavlík;-;LW;MHK;0;L;CZE;;;;;;;;;;;;;
;Šimon;Marha;TRY-OUT;F;MHK;0;L;CZE;;;;;;;;;;;;;
;Tomáš;Černý;-;O;OLO;0;P;CZE;;;;;;;;;;;;;
;Trevor;Cosgrove;-;O;OLO;0;L;USA;;;;;;;;;;;;;
;Jiří;Ondrušek;-;O;OLO;0;L;CZE;;;;;;;;;;;;;
;Rayen;Petrovický;-;O;OLO;0;L;SVK;;;;;;;;;;;;;
;Aleš;Rašner;-;O;OLO;0;L;CZE;;;;;;;;;;;;;
;Dalibor;Řezníček;-;O;OLO;0;L;CZE;;;;;;;;;;;;;
;Adam;Rutar;27/28;O;OLO;0;P;CZE;;;;;;;;;;;;;
;David;Škůrek;-;O;OLO;0;P;CZE;;;;;;;;;;;;;
;Evan;Stella;-;O;OLO;0;L;SWE;;;;;;;;;;;;;
;Lukáš;Anděl;-;C;OLO;0;L;CZE;;;;;;;;;;;;;
;Viliam;Čacho;-;C;OLO;0;L;SVK;;;;;;;;;;;;;
;Jakub;Doktor;-;LW;OLO;0;P;CZE;;;;;;;;;;;;;
;Petr;Fridrich;-;LW;OLO;0;P;CZE;;;;;;;;;;;;;
;Renars;Krastenbergs;-;C;OLO;0;L;LAT;;;;;;;;;;;;;
;Silvester;Kusko;-;C;OLO;0;L;SVK;;;;;;;;;;;;;
;Joshua james;Mácha;-;RW;OLO;0;L;CZE;;;;;;;;;;;;;
;Rok;Macuh;-;C;OLO;0;P;SLO;;;;;;;;;;;;;
;Ondřej;Matýs;-;LW;OLO;0;L;CZE;;;;;;;;;;;;;
;Daniel;Ministr;-;F;OLO;0;L;CZE;;;;;;;;;;;;;
;Lukáš;Nahodil;-;C;OLO;0;P;CZE;;;;;;;;;;;;;
;Jakub;Navrátil;27/28;LW;OLO;0;L;CZE;;;;;;;;;;;;;
;Jakub;Orsava;26/27;LW;OLO;0;P;CZE;;;;;;;;;;;;;
;Karel;Plášek;-;LW;OLO;0;L;CZE;;;;;;;;;;;;;
;David ;Vitouch;host(-);C;OLO;0;L;CZE;;;;;;;;;;;;;
;Peter;Čerešňák;27/28;O;PCE;0;P;SVK;;;;;;;;;;;;;
;Ondřej;Chabada;26/27+1;O;PCE;0;L;CZE;;;;;;;;;;;;;
;Tomáš;Dvořák;28/29;O;PCE;0;L;CZE;;;;;;;;;;;;;
;Daniel;Gazda;-;O;PCE;0;P;CZE;;;;;;;;;;;;;
;Libor;Hájek;27/28;O;PCE;0;L;CZE;;;;;;;;;;;;;
;Michal;Hrádek;26/27;O;PCE;0;P;CZE;;;;;;;;;;;;;
;Jan;Košťálek;26/27;O;PCE;0;P;CZE;;;;;;;;;;;;;
;John;Ludvig;27/28;O;PCE;0;L;CAN;;;;;;;;;;;;;
;Ondřej;Mikliš;-;O;PCE;0;L;CZE;;;;;;;;;;;;;
;Miguel;Tourigny;26/27+1;O;PCE;0;P;CAN;;;;;;;;;;;;;
